"","id1","n_varieties","share_area_local","share_area_improved","xx2_xx3","xx2","per_hib_bush","per_hib_climbers","yield_pure_i_b","yield_pure_i_c","yield_pure_local_b","yield_pure_local_c","yield_pure_hib_b","yield_pure_hib_c","d","d8","d10","d11","d12","d13","d14","d15","d16","d17","d18","d19","d22","c4_1","c4_2","c4_3","c4_4","c4_5","c4_6","c4_7","bean_area","i_l_b_area","cor_c","area_irrigated_land","area_manure_land","area_compost_land","area_fertilizer_land","area_pesticide_land","bush","climber","area_no_title","area_own_title","area_renting","area_share_croping","renting","own_title","own_notitle","share_croping","share_area_imp_var","cor_c.1","mean_p_beans_year_2015","mean_p_maize_year_2015","mean_p_sorghum_year_2015","mean_p_sp_year_2015","hhid"
"1530","58221203050014_2",1,0,100,277.7777778,100,0,0,277.7777778,0,0,0,0,0,100,7,100,1,2,0,4,0,1,0,1,0,0,3,0,0,0,0,0,0,180,18000,180,0,180,0,0,0,1,0,0,180,0,0,0,1,0,0,100,180,350.88697815,205.90016175,328.9170685,65.4060287,"58221203050014"
"1531","58221203050014_3",1,0,100,57.5613488703226,100,0,0,57.5613488703226,0,0,0,0,0,100,7,100,1,3,0,4,0,1,0,1,0,0,3,0,0,0,0,0,0,120,12000,120,0,120,0,0,0,1,0,120,0,0,0,0,0,1,0,100,120,350.88697815,205.90016175,328.9170685,65.4060287,"58221203050014"
"1532","58221203050014_4",1,100,0,238.0952381,100,0,0,0,0,0,238.0952381,0,0,100,7,100,1,10,0,4,0,1,0,1,0,0,3,0,0,0,0,0,0,420,42000,420,0,420,0,0,0,0,1,0,420,0,0,0,1,0,0,0,420,350.88697815,205.90016175,328.9170685,65.4060287,"58221203050014"
"1533","58221203050014_5",1,0,100,57.5613488703226,100,0,0,57.5613488703226,0,0,0,0,0,100,7,100,1,2,0,4,0,1,0,1,0,0,3,0,0,0,0,0,0,48,4800,48,0,48,0,0,0,1,0,0,48,0,0,0,1,0,0,100,48,350.88697815,205.90016175,328.9170685,65.4060287,"58221203050014"
"1534","58271202010030_1",4,90,10,100,100,0,0,0,0,0,0,0,0,100,2,90,2,2,0,4,0,0,0,1,1,0,3,0,0,0,0,0,0,100,5000,100,0,100,100,0,0,0,1,0,100,0,0,0,1,0,0,5,100,425.90148925,260.8634949,333.8043976,80.4674835,"58271202010030"
"1535","58271202010030_2",4,90,10,100,100,0,0,0,0,0,0,0,0,100,2,50,2,2,0,4,0,0,0,1,1,0,3,0,0,0,0,0,0,100,5000,100,0,100,100,0,0,0,1,0,100,0,0,0,1,0,0,5,100,425.90148925,260.8634949,333.8043976,80.4674835,"58271202010030"
"1536","58271202010039_1",4,0,100.00000381,28.7499999994999,100.00000381,0,0,0,0,0,0,0,0,100,1,0,2,10,0,3,0,0,0,1,1,0,3,8,0,0,0,0,0,800,40000.001524,800,0,800,800,0,0,0,1,0,800,0,0,0,1,0,0,50.000001905,800,425.90148925,260.8634949,333.8043976,80.4674835,"58271202010039"
"1537","58350702060010_1",4,0,100,47.87961696,100,20,80,0,0,0,0,0,0,10,2,50,2,0,0,3,0,0,1,1,1,1,2,3,0,0,0,0,0,146.2,7310,1462,0,1462,1462,1462,1462,0.5,0.5,0,1462,0,0,0,1,0,0,50,1462,417.5162811,203.28407285,337.2144928,55.9558449,"58350702060010"
"1538","58350702060010_2",1,100,0,162.962963,100,0,0,0,0,0,162.962963,0,0,100,2,0,1,10,1,3,0,0,1,1,1,1,3,0,0,0,0,0,0,135,13500,135,0,135,135,135,135,0,1,0,0,135,0,1,0,0,0,0,135,417.5162811,203.28407285,337.2144928,55.9558449,"58350702060010"
"1539","58350702060024_1",9,46.1538477,11.53846169,36.6666666725555,57.69230939,0,11.53846169,0,0,0,0,0,0,100,2,75,4,0,0,2,1,0,1,1,0,1,3,0,0,0,0,0,0,1500,28846.154695,1500,1500,1500,0,1500,1500,0,1,0,1500,0,0,0,1,0,0,3.84615389666667,1500,406.6450958,202.9775925,330.86398315,59.0729828,"58350702060024"
"1540","58350702060024_2",16,45.11277867,54.88721752,114.99999999476,99.99999619,0,13.53383541,0,0,0,0,0,0,100,2,70,4,3,0,3,1,0,1,1,0,1,3,0,0,0,0,0,0,1000,24999.9990475,1000,1000,1000,0,1000,1000,0,1,0,1000,0,0,0,1,0,0,13.72180438,1000,406.6450958,202.9775925,330.86398315,59.0729828,"58350702060024"
